Municipality name,party_name,Votes
Enkhuizen,CDA,880
Enkhuizen,Forum voor Democratie,738
Enkhuizen,Partij van de Arbeid (P.v.d.A.),723
Enkhuizen,Partij voor de Dieren,505
Enkhuizen,GROENLINKS,453
Enkhuizen,JA21,332
Enkhuizen,ChristenUnie,237
Enkhuizen,Volt,202
Enkhuizen,Staatkundig Gereformeerde Partij (SGP),153
Enkhuizen,DENK,143
Enkhuizen,50PLUS,124
Enkhuizen,CODE ORANJE,71
Enkhuizen,BBB,54
Enkhuizen,Splinter,54
Enkhuizen,BIJ1,40
Enkhuizen,Piratenpartij,26
Enkhuizen,JONG,25
Enkhuizen,"Blanco (Zeven, A.J.L.B.)",23
Enkhuizen,Trots op Nederland (TROTS),23
Enkhuizen,NLBeter,16
Enkhuizen,DE FEESTPARTIJ (DFP),10
Enkhuizen,NIDA,7
Enkhuizen,Lijst Henk Krol,5
Enkhuizen,LP (Libertaire Partij),5
Enkhuizen,JEZUS LEEFT,4
Enkhuizen,OPRECHT,4
Enkhuizen,Wij zijn Nederland,2
Enkhuizen,U-Buntu Connected Front,0
Enschede,VVD,15071
Enschede,D66,12361
Enschede,PVV (Partij voor de Vrijheid),12150
Enschede,CDA,10162
Enschede,Forum voor Democratie,6263
Enschede,SP (Socialistische Partij),6145
Enschede,Partij van de Arbeid (P.v.d.A.),5896
Enschede,GROENLINKS,4908
Enschede,Volt,3547
Enschede,Partij voor de Dieren,2851
Enschede,ChristenUnie,2845
Enschede,DENK,2437
Enschede,JA21,1607
Enschede,50PLUS,722
Enschede,BBB,529
Enschede,BIJ1,448
Enschede,Staatkundig Gereformeerde Partij (SGP),363
Enschede,Piratenpartij,306
Enschede,CODE ORANJE,282
Enschede,Splinter,243
Enschede,NIDA,202
Enschede,Trots op Nederland (TROTS),140
Enschede,JONG,139
Enschede,"Blanco (Zeven, A.J.L.B.)",83
Enschede,NLBeter,68
Enschede,Lijst Henk Krol,65
Enschede,LP (Libertaire Partij),56
Enschede,Wij zijn Nederland,47
Enschede,JEZUS LEEFT,44
Enschede,OPRECHT,32
Enschede,U-Buntu Connected Front,15
Enschede,Partij van de Eenheid,14
Epe,VVD,5365
Epe,CDA,2508
Epe,D66,2424
Epe,PVV (Partij voor de Vrijheid),2299
Epe,Partij van de Arbeid (P.v.d.A.),1332
Epe,ChristenUnie,1329
Epe,SP (Socialistische Partij),1063
Epe,Forum voor Democratie,992
Epe,Staatkundig Gereformeerde Partij (SGP),913
Epe,Partij voor de Dieren,692
Epe,GROENLINKS,665
Epe,JA21,501
Epe,BBB,420
Epe,DENK,297
Epe,Volt,263
Epe,50PLUS,225
Epe,OPRECHT,56
Epe,Splinter,52
Epe,CODE ORANJE,44
Epe,Trots op Nederland (TROTS),43
Epe,Piratenpartij,33
Epe,BIJ1,31
Epe,JEZUS LEEFT,22
Epe,JONG,19
Epe,"Blanco (Zeven, A.J.L.B.)",18
Epe,Lijst Henk Krol,15
Epe,NIDA,13
Epe,NLBeter,12
Epe,LP (Libertaire Partij),11
Epe,U-Buntu Connected Front,0
Ermelo,VVD,3583
Ermelo,CDA,2672
Ermelo,ChristenUnie,2235
Ermelo,D66,1817
Ermelo,PVV (Partij voor de Vrijheid),1489
Ermelo,Staatkundig Gereformeerde Partij (SGP),1285
Ermelo,Forum voor Democratie,890
Ermelo,SP (Socialistische Partij),631
Ermelo,Partij van de Arbeid (P.v.d.A.),613
Ermelo,Partij voor de Dieren,575
Ermelo,GROENLINKS,568
Ermelo,JA21,462
Ermelo,Volt,235
Ermelo,BBB,143
Ermelo,50PLUS,138
Ermelo,DENK,70
Ermelo,CODE ORANJE,50
Ermelo,Splinter,35
Ermelo,BIJ1,31
Ermelo,Trots op Nederland (TROTS),26
Ermelo,JEZUS LEEFT,22
Ermelo,Piratenpartij,18
Ermelo,JONG,16
Ermelo,Lijst Henk Krol,16
Ermelo,"Blanco (Zeven, A.J.L.B.)",14
Ermelo,NLBeter,12
Ermelo,OPRECHT,7
Ermelo,LP (Libertaire Partij),6
Ermelo,NIDA,6
Ermelo,U-Buntu Connected Front,2
Etten-Leur,VVD,7581
Etten-Leur,D66,3443
Etten-Leur,PVV (Partij voor de Vrijheid),3280
Etten-Leur,CDA,2426
Etten-Leur,SP (Socialistische Partij),1806
Etten-Leur,Partij van de Arbeid (P.v.d.A.),1319
Etten-Leur,Forum voor Democratie,1291
Etten-Leur,GROENLINKS,989
Etten-Leur,JA21,658
Etten-Leur,Partij voor de Dieren,636
Etten-Leur,DENK,471
Etten-Leur,50PLUS,342
Etten-Leur,Volt,341
Etten-Leur,ChristenUnie,273
Etten-Leur,BBB,170
Etten-Leur,NIDA,115
Etten-Leur,CODE ORANJE,92
Etten-Leur,Splinter,90
Etten-Leur,BIJ1,69
Etten-Leur,JONG,38
Etten-Leur,Piratenpartij,35
Etten-Leur,Staatkundig Gereformeerde Partij (SGP),32
Etten-Leur,Lijst Henk Krol,28
Etten-Leur,NLBeter,21
Etten-Leur,DE FEESTPARTIJ (DFP),20
Etten-Leur,"Blanco (Zeven, A.J.L.B.)",19
Etten-Leur,OPRECHT,15
Etten-Leur,JEZUS LEEFT,10
Etten-Leur,LP (Libertaire Partij),9
Etten-Leur,Partij van de Eenheid,1
Etten-Leur,U-Buntu Connected Front,0
Geertruidenberg,VVD,3855
Geertruidenberg,PVV (Partij voor de Vrijheid),2087
Geertruidenberg,D66,1416
Geertruidenberg,CDA,1231
Geertruidenberg,SP (Socialistische Partij),1149
Geertruidenberg,Forum voor Democratie,813
Geertruidenberg,Partij van de Arbeid (P.v.d.A.),673
Geertruidenberg,GROENLINKS,346
Geertruidenberg,JA21,335
Geertruidenberg,Partij voor de Dieren,335
Geertruidenberg,50PLUS,201
Geertruidenberg,Volt,147
Geertruidenberg,ChristenUnie,141
Geertruidenberg,BBB,116
Geertruidenberg,Splinter,69
Geertruidenberg,CODE ORANJE,57
Geertruidenberg,DENK,39
Geertruidenberg,Staatkundig Gereformeerde Partij (SGP),26
Geertruidenberg,BIJ1,25
Geertruidenberg,Piratenpartij,23
Geertruidenberg,JONG,21
Geertruidenberg,NLBeter,21
Geertruidenberg,DE FEESTPARTIJ (DFP),19
Geertruidenberg,Lijst Henk Krol,15
Geertruidenberg,OPRECHT,15
Geertruidenberg,"Blanco (Zeven, A.J.L.B.)",11
Geertruidenberg,LP (Libertaire Partij),5
Geertruidenberg,NIDA,5
Geertruidenberg,JEZUS LEEFT,3
Geertruidenberg,Partij van de Eenheid,1
Geertruidenberg,U-Buntu Connected Front,0
Geldrop-Mierlo,VVD,6067
Geldrop-Mierlo,D66,3876
Geldrop-Mierlo,PVV (Partij voor de Vrijheid),3122
Geldrop-Mierlo,CDA,2503
Geldrop-Mierlo,SP (Socialistische Partij),1948
Geldrop-Mierlo,Forum voor Democratie,1313
Geldrop-Mierlo,Partij van de Arbeid (P.v.d.A.),1259
Geldrop-Mierlo,GROENLINKS,1175
Geldrop-Mierlo,Partij voor de Dieren,865
Geldrop-Mierlo,Volt,559
Geldrop-Mierlo,JA21,502
Geldrop-Mierlo,50PLUS,322
Geldrop-Mierlo,ChristenUnie,319
Geldrop-Mierlo,DENK,216
Geldrop-Mierlo,CODE ORANJE,88
Geldrop-Mierlo,BBB,77
Geldrop-Mierlo,BIJ1,75
Geldrop-Mierlo,Splinter,74
Geldrop-Mierlo,Piratenpartij,56
Geldrop-Mierlo,Trots op Nederland (TROTS),55
Geldrop-Mierlo,Staatkundig Gereformeerde Partij (SGP),45
Geldrop-Mierlo,JONG,41
Geldrop-Mierlo,NIDA,39
Geldrop-Mierlo,Lijst Henk Krol,38
Geldrop-Mierlo,"Blanco (Zeven, A.J.L.B.)",31
Geldrop-Mierlo,DE FEESTPARTIJ (DFP),30
Geldrop-Mierlo,OPRECHT,20
Geldrop-Mierlo,LP (Libertaire Partij),17
Geldrop-Mierlo,NLBeter,17
Geldrop-Mierlo,Partij van de Eenheid,4
Geldrop-Mierlo,JEZUS LEEFT,3
Gemert-Bakel,VVD,4810
Gemert-Bakel,CDA,3428
Gemert-Bakel,PVV (Partij voor de Vrijheid),2338
Gemert-Bakel,D66,2280
Gemert-Bakel,SP (Socialistische Partij),1541
Gemert-Bakel,Forum voor Democratie,780
Gemert-Bakel,Partij van de Arbeid (P.v.d.A.),652
Gemert-Bakel,GROENLINKS,585
Gemert-Bakel,BBB,506
Gemert-Bakel,Partij voor de Dieren,504
Gemert-Bakel,JA21,386
Gemert-Bakel,Volt,254
Gemert-Bakel,50PLUS,222
Gemert-Bakel,ChristenUnie,103
Gemert-Bakel,CODE ORANJE,51
Gemert-Bakel,Trots op Nederland (TROTS),46
Gemert-Bakel,Splinter,45
Gemert-Bakel,BIJ1,33
Gemert-Bakel,DENK,27
Gemert-Bakel,JONG,26
Gemert-Bakel,Piratenpartij,24
Gemert-Bakel,DE FEESTPARTIJ (DFP),19
Gemert-Bakel,NLBeter,16
Gemert-Bakel,Lijst Henk Krol,11
Gemert-Bakel,Staatkundig Gereformeerde Partij (SGP),9
Gemert-Bakel,"Blanco (Zeven, A.J.L.B.)",7
Gemert-Bakel,LP (Libertaire Partij),5
Gemert-Bakel,NIDA,5
Gemert-Bakel,OPRECHT,3
Gemert-Bakel,JEZUS LEEFT,1
Gemert-Bakel,Partij van de Eenheid,0
Gennep,VVD,2552
Gennep,D66,1396
Gennep,CDA,1341
Gennep,PVV (Partij voor de Vrijheid),1291
Gennep,SP (Socialistische Partij),1021
Gennep,Partij van de Arbeid (P.v.d.A.),644
Gennep,Forum voor Democratie,475
Gennep,GROENLINKS,395
Gennep,Partij voor de Dieren,355
Gennep,JA21,215
Gennep,Volt,160
Gennep,BBB,116
Gennep,50PLUS,91
Gennep,ChristenUnie,84
Gennep,DENK,61
Gennep,Splinter,40
Gennep,Piratenpartij,30
Gennep,BIJ1,26
Gennep,Trots op Nederland (TROTS),22
Gennep,CODE ORANJE,18
Gennep,JONG,10
Gennep,Lijst Henk Krol,10
Gennep,"Blanco (Zeven, A.J.L.B.)",9
Gennep,OPRECHT,9
Gennep,Staatkundig Gereformeerde Partij (SGP),9
Gennep,LP (Libertaire Partij),7
Gennep,DE FEESTPARTIJ (DFP),6
Gennep,NIDA,4
Gennep,NLBeter,3
Gennep,Partij van de Eenheid,1
Gennep,Wij zijn Nederland,0
Gilze en Rijen,VVD,4452
Gilze en Rijen,D66,2173
Gilze en Rijen,PVV (Partij voor de Vrijheid),1899
Gilze en Rijen,CDA,1655
Gilze en Rijen,SP (Socialistische Partij),1273
Gilze en Rijen,Partij van de Arbeid (P.v.d.A.),870
Gilze en Rijen,Forum voor Democratie,839
Gilze en Rijen,GROENLINKS,596
Gilze en Rijen,Partij voor de Dieren,417
Gilze en Rijen,JA21,389
Gilze en Rijen,DENK,345
Gilze en Rijen,50PLUS,268
Gilze en Rijen,Volt,250
Gilze en Rijen,BBB,162
Gilze en Rijen,ChristenUnie,118
Gilze en Rijen,Splinter,49
Gilze en Rijen,CODE ORANJE,44
Gilze en Rijen,JONG,35
Gilze en Rijen,BIJ1,34
Gilze en Rijen,Piratenpartij,28
Gilze en Rijen,Lijst Henk Krol,26
Gilze en Rijen,NIDA,24
Gilze en Rijen,OPRECHT,21
Gilze en Rijen,DE FEESTPARTIJ (DFP),19
Gilze en Rijen,Staatkundig Gereformeerde Partij (SGP),19
Gilze en Rijen,NLBeter,16
Gilze en Rijen,"Blanco (Zeven, A.J.L.B.)",11
Gilze en Rijen,LP (Libertaire Partij),9
Gilze en Rijen,JEZUS LEEFT,5
Gilze en Rijen,Partij van de Eenheid,4
Gilze en Rijen,U-Buntu Connected Front,0
Goeree-Overflakkee,VVD,6954
Goeree-Overflakkee,Staatkundig Gereformeerde Partij (SGP),5279
Goeree-Overflakkee,PVV (Partij voor de Vrijheid),4025
Goeree-Overflakkee,CDA,3311
Goeree-Overflakkee,ChristenUnie,2567
Goeree-Overflakkee,D66,2179
Goeree-Overflakkee,Forum voor Democratie,1991
Goeree-Overflakkee,Partij van de Arbeid (P.v.d.A.),1501
Goeree-Overflakkee,SP (Socialistische Partij),1376
Goeree-Overflakkee,JA21,1050
Goeree-Overflakkee,Partij voor de Dieren,808
Goeree-Overflakkee,GROENLINKS,601
Goeree-Overflakkee,50PLUS,350
Goeree-Overflakkee,Volt,279
Goeree-Overflakkee,BBB,204
Goeree-Overflakkee,CODE ORANJE,175
Goeree-Overflakkee,Splinter,68
Goeree-Overflakkee,Piratenpartij,50
Goeree-Overflakkee,JONG,42
Goeree-Overflakkee,BIJ1,39
Goeree-Overflakkee,"Blanco (Zeven, A.J.L.B.)",27
Goeree-Overflakkee,NLBeter,25
Goeree-Overflakkee,Lijst Henk Krol,22
Goeree-Overflakkee,DENK,20
Goeree-Overflakkee,JEZUS LEEFT,19
Goeree-Overflakkee,LP (Libertaire Partij),12
Goeree-Overflakkee,Wij zijn Nederland,9
Goeree-Overflakkee,OPRECHT,5
Goeree-Overflakkee,Modern Nederland,4
Goeree-Overflakkee,NIDA,4
Goes,VVD,5192
Goes,D66,3130
Goes,CDA,2693
Goes,PVV (Partij voor de Vrijheid),2067
Goes,Partij van de Arbeid (P.v.d.A.),1638
Goes,Staatkundig Gereformeerde Partij (SGP),1534
Goes,SP (Socialistische Partij),1319
Goes,Forum voor Democratie,1258
Goes,ChristenUnie,1242
Goes,GROENLINKS,975
Goes,Partij voor de Dieren,895
Goes,JA21,607
Goes,50PLUS,306
Goes,Volt,302
Goes,BBB,205
Goes,DENK,130
Goes,BIJ1,88
Goes,CODE ORANJE,84
Goes,Splinter,57
Goes,Piratenpartij,55
Goes,JONG,27
Goes,NIDA,27
Goes,"Blanco (Zeven, A.J.L.B.)",26
Goes,NLBeter,22
Goes,Lijst Henk Krol,20
Goes,LP (Libertaire Partij),9
Goes,OPRECHT,6
Goes,JEZUS LEEFT,3
Goes,Partij van de Eenheid,1
Goirle,VVD,4247
Goirle,D66,2762
Goirle,PVV (Partij voor de Vrijheid),1546
Goirle,CDA,1410
Goirle,SP (Socialistische Partij),1232
Goirle,Partij van de Arbeid (P.v.d.A.),777
Goirle,GROENLINKS,688
Goirle,Forum voor Democratie,675
Goirle,Partij voor de Dieren,502
Goirle,JA21,312
Goirle,Volt,270
Goirle,50PLUS,191
Goirle,ChristenUnie,94
Goirle,DENK,78
Goirle,CODE ORANJE,53
Goirle,BBB,52
Goirle,Splinter,41
Goirle,BIJ1,30
Goirle,JONG,25
Goirle,Piratenpartij,22
Goirle,NLBeter,21
Goirle,DE FEESTPARTIJ (DFP),18
Goirle,"Blanco (Zeven, A.J.L.B.)",15
Goirle,Lijst Henk Krol,10
Goirle,NIDA,10
Goirle,LP (Libertaire Partij),8
Goirle,Staatkundig Gereformeerde Partij (SGP),8
Goirle,OPRECHT,6
Goirle,JEZUS LEEFT,2
Goirle,Partij van de Eenheid,2
Goirle,U-Buntu Connected Front,0
Gooise Meren,VVD,10247
Gooise Meren,D66,8765
Gooise Meren,CDA,3002
Gooise Meren,PVV (Partij voor de Vrijheid),2231
Gooise Meren,GROENLINKS,1784
Gooise Meren,Partij van de Arbeid (P.v.d.A.),1748
Gooise Meren,Partij voor de Dieren,1679
Gooise Meren,Volt,1562
Gooise Meren,Forum voor Democratie,1348
Gooise Meren,SP (Socialistische Partij),1205
Gooise Meren,JA21,838
Gooise Meren,ChristenUnie,591
Gooise Meren,DENK,342
Gooise Meren,50PLUS,254
Gooise Meren,NIDA,122
Gooise Meren,BBB,115
Gooise Meren,BIJ1,114
Gooise Meren,Piratenpartij,112
Gooise Meren,Staatkundig Gereformeerde Partij (SGP),107
Gooise Meren,Splinter,100
Gooise Meren,CODE ORANJE,85
Gooise Meren,JONG,53
Gooise Meren,NLBeter,51
Gooise Meren,Lijst Henk Krol,34
Gooise Meren,Trots op Nederland (TROTS),33
Gooise Meren,DE FEESTPARTIJ (DFP),18
Gooise Meren,LP (Libertaire Partij),17
Gooise Meren,Vrij en Sociaal Nederland,15
Gooise Meren,OPRECHT,12
Gooise Meren,U-Buntu Connected Front,3
Gooise Meren,Wij zijn Nederland,1
Gorinchem,VVD,4907
Gorinchem,D66,3185
Gorinchem,PVV (Partij voor de Vrijheid),2259
Gorinchem,CDA,1549
Gorinchem,SP (Socialistische Partij),1312
Gorinchem,Partij van de Arbeid (P.v.d.A.),1283
Gorinchem,Forum voor Democratie,1208
Gorinchem,ChristenUnie,1103
Gorinchem,DENK,1031
Gorinchem,GROENLINKS,929
Gorinchem,Partij voor de Dieren,706
Gorinchem,JA21,535
Gorinchem,Staatkundig Gereformeerde Partij (SGP),497
Gorinchem,Volt,402
Gorinchem,50PLUS,207
Gorinchem,NIDA,138
Gorinchem,BIJ1,94
Gorinchem,CODE ORANJE,82
Gorinchem,Splinter,61
Gorinchem,Lijst Henk Krol,52
Gorinchem,BBB,49
Gorinchem,Piratenpartij,40
Gorinchem,JEZUS LEEFT,25
Gorinchem,JONG,25
Gorinchem,NLBeter,22
Gorinchem,"Blanco (Zeven, A.J.L.B.)",17
Gorinchem,OPRECHT,12
Gorinchem,LP (Libertaire Partij),10
Gorinchem,Wij zijn Nederland,4
Gorinchem,Modern Nederland,3
Gouda,VVD,7546
Gouda,D66,7238
Gouda,PVV (Partij voor de Vrijheid),3960
Gouda,CDA,3136
Gouda,ChristenUnie,3029
Gouda,GROENLINKS,2796
Gouda,Partij van de Arbeid (P.v.d.A.),2621
Gouda,SP (Socialistische Partij),2294
Gouda,Partij voor de Dieren,1988
Gouda,Staatkundig Gereformeerde Partij (SGP),1940
Gouda,Forum voor Democratie,1913
Gouda,DENK,1746
Gouda,Volt,1161
Gouda,JA21,1090
Gouda,50PLUS,507
Gouda,NIDA,314
Gouda,BIJ1,217
Gouda,CODE ORANJE,152
Gouda,Splinter,143
Gouda,BBB,112
Gouda,Piratenpartij,105
Gouda,JONG,51
Gouda,"Blanco (Zeven, A.J.L.B.)",48
Gouda,NLBeter,45
Gouda,OPRECHT,38
Gouda,LP (Libertaire Partij),32
Gouda,Lijst Henk Krol,30
Gouda,JEZUS LEEFT,26
Gouda,U-Buntu Connected Front,8
Gouda,Modern Nederland,4
Grave,VVD,2158
Grave,D66,1161
Grave,PVV (Partij voor de Vrijheid),965
Grave,CDA,948
Grave,SP (Socialistische Partij),744
Grave,Forum voor Democratie,372
Grave,Partij van de Arbeid (P.v.d.A.),343
Grave,GROENLINKS,296
Grave,Partij voor de Dieren,264
Grave,JA21,184
Grave,Volt,142
Grave,BBB,94
Grave,ChristenUnie,75
Grave,50PLUS,74
Grave,Splinter,26
Grave,BIJ1,20
Grave,CODE ORANJE,20
Grave,Piratenpartij,15
Grave,Trots op Nederland (TROTS),13
Grave,JONG,9
Grave,DENK,8
Grave,NLBeter,8
Grave,Staatkundig Gereformeerde Partij (SGP),8
Grave,DE FEESTPARTIJ (DFP),6
Grave,Lijst Henk Krol,6
Grave,OPRECHT,5
Grave,"Blanco (Zeven, A.J.L.B.)",3
Grave,NIDA,3
Grave,LP (Libertaire Partij),2
Grave,JEZUS LEEFT,0
Grave,Partij van de Eenheid,0
Groningen,D66,33442
Groningen,VVD,19897
Groningen,GROENLINKS,15278
Groningen,Partij van de Arbeid (P.v.d.A.),12164
Groningen,SP (Socialistische Partij),11076
Groningen,Partij voor de Dieren,8744
Groningen,PVV (Partij voor de Vrijheid),8254
Groningen,CDA,8155
Groningen,Volt,8042
Groningen,ChristenUnie,5762
Groningen,Forum voor Democratie,5401
Groningen,JA21,2200
Groningen,BIJ1,1702
Groningen,50PLUS,794
Groningen,DENK,719
Groningen,Staatkundig Gereformeerde Partij (SGP),668
Groningen,BBB,588
Groningen,Piratenpartij,579
Groningen,Splinter,531
Groningen,CODE ORANJE,419
Groningen,JONG,283
Groningen,NIDA,214
Groningen,Trots op Nederland (TROTS),194
Groningen,NLBeter,132
Groningen,LP (Libertaire Partij),111
Groningen,Lijst Henk Krol,100
Groningen,OPRECHT,65
Groningen,DE FEESTPARTIJ (DFP),62
Groningen,JEZUS LEEFT,56
Groningen,Vrij en Sociaal Nederland,44
Groningen,U-Buntu Connected Front,38
Gulpen-Wittem,VVD,2026
Gulpen-Wittem,CDA,1697
Gulpen-Wittem,PVV (Partij voor de Vrijheid),1412
Gulpen-Wittem,D66,1053
Gulpen-Wittem,Partij van de Arbeid (P.v.d.A.),790
Gulpen-Wittem,SP (Socialistische Partij),621
Gulpen-Wittem,Forum voor Democratie,455
Gulpen-Wittem,GROENLINKS,416
Gulpen-Wittem,Partij voor de Dieren,367
Gulpen-Wittem,JA21,167
Gulpen-Wittem,Volt,154
Gulpen-Wittem,BBB,153
Gulpen-Wittem,50PLUS,120
Gulpen-Wittem,ChristenUnie,90
Gulpen-Wittem,Staatkundig Gereformeerde Partij (SGP),26
Gulpen-Wittem,Splinter,18
Gulpen-Wittem,Piratenpartij,15
Gulpen-Wittem,BIJ1,13
Gulpen-Wittem,CODE ORANJE,13
Gulpen-Wittem,Lijst Henk Krol,13
Gulpen-Wittem,"Blanco (Zeven, A.J.L.B.)",12
Gulpen-Wittem,Trots op Nederland (TROTS),11
Gulpen-Wittem,DENK,10
Gulpen-Wittem,JONG,9
Gulpen-Wittem,LP (Libertaire Partij),6
Gulpen-Wittem,DE FEESTPARTIJ (DFP),5
Gulpen-Wittem,NLBeter,5
Gulpen-Wittem,OPRECHT,3
Gulpen-Wittem,NIDA,1
Gulpen-Wittem,Wij zijn Nederland,1
Gulpen-Wittem,Partij van de Eenheid,0
Haaksbergen,VVD,3772
Haaksbergen,CDA,3535
Haaksbergen,D66,1973
Haaksbergen,PVV (Partij voor de Vrijheid),1724
Haaksbergen,SP (Socialistische Partij),947
Haaksbergen,Forum voor Democratie,704
Haaksbergen,Partij van de Arbeid (P.v.d.A.),698
Haaksbergen,BBB,651
Haaksbergen,JA21,363
Haaksbergen,GROENLINKS,362
Haaksbergen,Partij voor de Dieren,327
Haaksbergen,DENK,226
Haaksbergen,Volt,203
Haaksbergen,ChristenUnie,179
Haaksbergen,50PLUS,131
Haaksbergen,CODE ORANJE,48
Haaksbergen,Staatkundig Gereformeerde Partij (SGP),38
Haaksbergen,Splinter,30
Haaksbergen,BIJ1,24
Haaksbergen,Trots op Nederland (TROTS),20
Haaksbergen,Piratenpartij,16
Haaksbergen,JONG,14
Haaksbergen,Lijst Henk Krol,10
Haaksbergen,"Blanco (Zeven, A.J.L.B.)",6
Haaksbergen,NLBeter,6
Haaksbergen,JEZUS LEEFT,3
Haaksbergen,LP (Libertaire Partij),3
Haaksbergen,NIDA,3
Haaksbergen,OPRECHT,3
Haaksbergen,Partij van de Eenheid,3
Haaksbergen,U-Buntu Connected Front,3
Haaksbergen,Wij zijn Nederland,3
Haarlem,D66,21519
Haarlem,VVD,16491
Haarlem,GROENLINKS,8780
Haarlem,PVV (Partij voor de Vrijheid),6865
Haarlem,Partij van de Arbeid (P.v.d.A.),6443
Haarlem,Partij voor de Dieren,6136
Haarlem,SP (Socialistische Partij),5155
Haarlem,Volt,4571
Haarlem,CDA,4356
Haarlem,Forum voor Democratie,3593
Haarlem,DENK,2734
Haarlem,JA21,1604
Haarlem,ChristenUnie,1427
Haarlem,BIJ1,1051
Haarlem,50PLUS,823
Haarlem,Splinter,330
Haarlem,CODE ORANJE,288
Haarlem,Piratenpartij,286
Haarlem,NIDA,270
Haarlem,Trots op Nederland (TROTS),248
Haarlem,Staatkundig Gereformeerde Partij (SGP),212
Haarlem,BBB,122
Haarlem,JONG,107
Haarlem,NLBeter,97
Haarlem,Lijst Henk Krol,77
Haarlem,DE FEESTPARTIJ (DFP),61
Haarlem,LP (Libertaire Partij),57
Haarlem,Vrij en Sociaal Nederland,35
Haarlem,OPRECHT,30
Haarlem,Wij zijn Nederland,17
Haarlem,U-Buntu Connected Front,15
Haarlemmermeer,VVD,25857
Haarlemmermeer,D66,13710
Haarlemmermeer,PVV (Partij voor de Vrijheid),10562
Haarlemmermeer,CDA,7863
Haarlemmermeer,Forum voor Democratie,4725
Haarlemmermeer,SP (Socialistische Partij),4015
Haarlemmermeer,Partij van de Arbeid (P.v.d.A.),4007
Haarlemmermeer,GROENLINKS,3571
Haarlemmermeer,Partij voor de Dieren,3218
Haarlemmermeer,JA21,2859
Haarlemmermeer,ChristenUnie,2174
Haarlemmermeer,Volt,1850
Haarlemmermeer,DENK,1571
Haarlemmermeer,50PLUS,1216
Haarlemmermeer,BIJ1,667
Haarlemmermeer,Staatkundig Gereformeerde Partij (SGP),628
Haarlemmermeer,NIDA,391
Haarlemmermeer,CODE ORANJE,378
Haarlemmermeer,Splinter,298
Haarlemmermeer,BBB,288
Haarlemmermeer,Trots op Nederland (TROTS),216
Haarlemmermeer,JONG,204
Haarlemmermeer,Piratenpartij,201
Haarlemmermeer,Lijst Henk Krol,99
Haarlemmermeer,NLBeter,70
Haarlemmermeer,DE FEESTPARTIJ (DFP),51
Haarlemmermeer,LP (Libertaire Partij),46
Haarlemmermeer,OPRECHT,45
Haarlemmermeer,U-Buntu Connected Front,15
Haarlemmermeer,Vrij en Sociaal Nederland,15
Haarlemmermeer,Wij zijn Nederland,8
Halderberge,VVD,5517
Halderberge,PVV (Partij voor de Vrijheid),2881
Halderberge,D66,2002
Halderberge,CDA,1716
Halderberge,SP (Socialistische Partij),1374
Halderberge,Forum voor Democratie,961
Halderberge,Partij van de Arbeid (P.v.d.A.),734
Halderberge,GROENLINKS,477
Halderberge,JA21,457
Halderberge,Partij voor de Dieren,364
Halderberge,DENK,276
Halderberge,50PLUS,232
Halderberge,Volt,197
Halderberge,ChristenUnie,161
Halderberge,BBB,153
Halderberge,CODE ORANJE,78
Halderberge,Splinter,38
Halderberge,BIJ1,29
Halderberge,JONG,27
Halderberge,Piratenpartij,25
Halderberge,NIDA,23
Halderberge,Staatkundig Gereformeerde Partij (SGP),21
Halderberge,Lijst Henk Krol,17
Halderberge,DE FEESTPARTIJ (DFP),13
Halderberge,NLBeter,12
Halderberge,"Blanco (Zeven, A.J.L.B.)",11
Halderberge,JEZUS LEEFT,8
Halderberge,OPRECHT,8
Halderberge,LP (Libertaire Partij),7
Halderberge,Partij van de Eenheid,2
Halderberge,U-Buntu Connected Front,1
Hardenberg,CDA,7721
Hardenberg,VVD,7433
Hardenberg,ChristenUnie,4594
Hardenberg,PVV (Partij voor de Vrijheid),4398
Hardenberg,D66,2941
Hardenberg,Forum voor Democratie,2233
Hardenberg,BBB,1976
Hardenberg,SP (Socialistische Partij),1913
Hardenberg,Partij van de Arbeid (P.v.d.A.),1618
Hardenberg,JA21,847
Hardenberg,GROENLINKS,773
Hardenberg,Staatkundig Gereformeerde Partij (SGP),743
Hardenberg,Partij voor de Dieren,602
Hardenberg,50PLUS,506
Hardenberg,Volt,386
Hardenberg,CODE ORANJE,122
Hardenberg,Trots op Nederland (TROTS),75
Hardenberg,Splinter,67
Hardenberg,JONG,57
Hardenberg,BIJ1,39
Hardenberg,Piratenpartij,36
Hardenberg,DENK,31
Hardenberg,Lijst Henk Krol,28
Hardenberg,JEZUS LEEFT,23
Hardenberg,"Blanco (Zeven, A.J.L.B.)",21
Hardenberg,NLBeter,16
Hardenberg,OPRECHT,15
Hardenberg,LP (Libertaire Partij),8
Hardenberg,NIDA,6
Hardenberg,Partij van de Eenheid,6
Hardenberg,Wij zijn Nederland,2
Hardenberg,U-Buntu Connected Front,0
Harderwijk,VVD,7162
Harderwijk,D66,3611
Harderwijk,CDA,3536
Harderwijk,ChristenUnie,3032
Harderwijk,PVV (Partij voor de Vrijheid),2695
Harderwijk,Forum voor Democratie,1337
Harderwijk,Partij van de Arbeid (P.v.d.A.),1128
Harderwijk,GROENLINKS,1107
Harderwijk,SP (Socialistische Partij),1085
Harderwijk,DENK,1016
Harderwijk,Partij voor de Dieren,865
Harderwijk,JA21,800
